序号,名称,型号/规格,位号,封装,用量,品牌,商品编号
55,贴片电阻,0.2,"R82, R83, R116, R117",R1210,4,,
56,贴片电阻,20K,"R104, R108",0805_R,2,,
57,贴片电阻,120,R106,0805_R,1,,
58,贴片电阻,10K,"R118, R119",RES-ADJ-TH_3362P,2,,
59,贴片电阻,1M,"R120, R121",0805_R,2,,
60,贴片电阻,0R,"R122, R123",0805_R,2,,
61,共模电感,ACM7060-701-2PL-TL01,T1,FILTER-SMD_4P-L7.0-W6.0-BL,1,,
62,芯片,DP83848CVVX,U1,LQFP-48_7x7x05P,1,,
63,电源,VRB2405YMD-6WR3,U2,DC/DC-1X1,1,,
64,芯片,LD1117AG-33,U3,SOT-223,1,,
65,低压差线性稳压(LDO),HT7550-1,U4,SOT-89(SOT-89-3),1,,
66,芯片,LM4040AIM3-2.5,U5,MF03A_N,1,,
67,芯片,FM25W256,U6,SO8,1,,
68,晶振,SG-310SCF 25MHZ 3.3V,U7,SMD-3225_4P,1,,
69,光耦,HCNR200-500E,"U8_1, U8_2, U8_3, U11_1, U11_2, U11_3",SMD-8_9.0mm,6,,
70,芯片,LM2904-SR,"U9_1, U9_2, U9_3, U10_1, U10_2, U10_3, U14_1, U14_2, U14_3",SOIC-8_150mil,9,,
71,芯片,DRV8841PWPR,U12,HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP,1,,
72,芯片,ADUM1200AR,"U13_1, U13_2, U13_3, U20, U22, U24, U26",ADI-R-8_N,7,,
73,光耦,EL817S1(C)(TU)-F,"U15_1, U15_2, U15_3, U16, U17, U27, U38",LC-SMD-4,7,,
74,芯片,DRV8825PWPR,U18,HTSSOP_24P_L10.0-W4.4-P0.65-BL-EP,1,,
75,芯片,MAX232ESE,"U28, U31, U34",SOIC-16_150mil,3,,
76,电源,B0505S-W2R2,"U29, U32, U35",MORNSUN-BM,3,,
77,芯片,ADUM1201ARZ-RL7,"U30, U33, U36",SOIC-8_150mil,3,,
78,芯片,SP485EEN-L/TR,U37,SOIC-8_150mil,1,,
79,贴片晶振,32.768KHz ±20ppm 12.5pF,Y1,SMD-3215_2P FC - 135,1,,
